playerType,propReturnB,propSendA,age,defMax,volSav,dropG
B,0.5,,21,234.3999939,98,0
B,0.5,,28,0,40,0
B,0,,28,0,26,0
B,0.25,,54,153,23,0
B,0.5,,27,0,170,0
B,0.5,,33,21.75,17,0
B,0.25,,49,0,43,0
B,0.333333343,,27,0,12,0
B,0.5,,20,0,47,0
B,0.5,,48,29.70000076,5,0
B,0,,35,0,14,0
B,0,,26,89.25,54,1
B,0.333333343,,30,0,4,0
B,0.5,,43,0,383,0
B,0.5,,32,0,19,0
B,0.5,,51,0,46,0
B,0.5,,33,0,135,0
B,0.5,,33,0,178,0
B,0.5,,49,0,123,0
B,0.5,,26,0,154,1
B,0.333333343,,76,155,28,1
B,0.5,,36,14.47999954,0,1
B,0.5,,42,153.6699982,16,1
B,0.5,,48,60,53,0
B,0,,40,135.6100006,32,1
B,0,,37,0,5,0
B,0.333333343,,24,0,19,0
B,0.5,,45,0,15,0
B,0,,29,0,49,0
B,0,,0,43.43999863,5,1
B,0,,49,90.95999908,16,1
B,0.5,,52,0,200,0
B,0.5,,0,59.54000092,1,1
B,0.5,,28,0,140,1
B,0.5,,42,50,102,1
B,0,,30,103.9199982,70,1
B,0,,25,0,10,0
B,0,,48,82,0.140000001,1
B,0.5,,43,99.98999786,9,1
B,0,,28,14.47999954,1,0
B,0.5,,26,140.4799957,54,0
B,0.833333313,,35,0,14,0
B,1,,39,94.73999786,0,1
A,,0,33,0,48,0
A,,0,24,132.75,6,1
A,,0,32,0,362,0
A,,0,25,0,4,0
A,,0.333333343,51,0,167,0
A,,0.333333343,21,0,1,0
A,,0.333333343,31,0,68,0
A,,0,42,0,44,0
A,,0,25,110.25,10,1
A,,0,44,21,3,1
A,,0,30,0,215,0
A,,0.333333343,48,0,735,0
A,,0.333333343,59,0,72,0
A,,0.333333343,38,55.49000168,30,1
A,,1,27,0,0,0
A,,1,30,0,30,0
A,,0,23,1241.75,51,1
A,,0,28,0,33,0
A,,0,23,0,490,0
A,,0,43,0,12,0
A,,0.333333343,33,0,8,0
A,,0.333333343,35,100,87,0
A,,0.333333343,35,0,35,0
A,,0.333333343,23,0,185,0
A,,0.333333343,29,0,23,0
A,,0.333333343,66,258,72,0
A,,0.666666687,40,0,124,0
A,,1,48,261,14,0
A,,0.333333343,38,0,10,0
A,,0.333333343,54,0,86,0
A,,0.333333343,34,0,5,0
A,,0.333333343,33,0,122,0
A,,0.333333343,41,0,14,0
A,,0.333333343,45,143,63,0
A,,0.333333343,32,0,147,0
A,,0.333333343,36,0,77,0
A,,0.333333343,33,0,56,0
A,,1,49,0,26,0
A,,0,30,0,217,0
A,,0,39,0,136,0
A,,0,35,433,249,1
A,,0,18,0,1,0
A,,0.333333343,22,0,185,0
A,,0.333333343,38,0,0,0
A,,0.333333343,55,0,207,0
A,,0.333333343,38,148.4600067,17,1
A,,0.333333343,40,0,0,0
A,,0.333333343,55,215.2400055,65,1
A,,0.666666687,42,0,4,0
A,,1,48,0,0,0
A,,0,26,0,77,0
A,,0,64,0,94,0
A,,0.333333343,27,272.5,21,1
A,,0.333333343,49,0,47,0
A,,0.333333343,57,0,62,0
A,,0.333333343,42,0,2,0
A,,0.333333343,49,0,18,0
A,,0.333333343,23,0,72,0
A,,0.666666687,49,0,238,0
A,,0.666666687,33,54,8,0
A,,0.666666687,62,0,19,0
A,,0.333333343,23,0,3,0
A,,0.333333343,35,130.5200043,55,1
A,,0.333333343,40,0,137,0
A,,0.333333343,51,0,90,0
A,,0.333333343,37,217.4400024,22,1
A,,0.666666687,43,217.4400024,52,1
A,,0.666666687,61,108.75,9,1
A,,1,0,231,6,0
A,,1,40,0,77,0
A,,0.333333343,28,0,1655,0
A,,0.333333343,32,0,805,0
A,,0.333333343,20,0,96,0
A,,0.666666687,42,0,295,0
A,,0.666666687,20,0,1,0
A,,1,22,18.18000031,314,1
A,,1,35,0,38,0
A,,1,31,264.4100037,10,1
A,,1,27,409.1199951,51,0
A,,1,22,297,49,1
A,,1,29,0,270,0
A,,1,32,0,31,0
A,,1,31,0,67,0
A,,0,40,0,7,0
A,,0,21,0,3,0
A,,0,55,0,9,0
A,,0.333333343,30,0,1,0
A,,0.333333343,25,0,45,0
A,,1,26,0,25,0
A,,1,44,0,44,0
A,,0,54,0,41,0
A,,0,65,0,98,0
A,,0.333333343,27,0,16,0
A,,0.333333343,42,0,52,0
A,,0.333333343,52,0,6,0
A,,0.333333343,40,0,1,0
A,,0.333333343,71,0,125,0
A,,0.333333343,38,0,39,0
A,,1,49,0,108,0
A,,1,58,0,118,0
A,,1,59,0,108,0
A,,1,33,0,83,0
A,,1,28,261,120,1
A,,1,28,0,104,0
A,,1,42,0,7,0
A,,0,43,52,2,1
A,,0,26,0,0,0
A,,0,38,166.2900085,6,1
A,,0.333333343,25,0,6,0
A,,0.666666687,27,55.61999893,9,0
A,,0.666666687,45,0,9,0
A,,1,40,0,12,0
A,,0,58,0,115,0
A,,0,44,0,41,0
A,,0,27,232,50,1
A,,0,58,0,165,0
A,,0,17,0,30,0
A,,0,28,0,42,0
A,,0.333333343,38,0,2,1
A,,0.333333343,44,0,74,0
A,,0.333333343,30,0,45,0
A,,0.333333343,30,394.5,95,0
A,,0.333333343,53,0,28,0
A,,0.333333343,28,0,2,0
A,,0.333333343,51,653.3200073,91,0
A,,0.333333343,50,0,8,0
A,,1,61,0,31,0
A,,0.333333343,37,0,5,0
A,,0.333333343,32,0,25,0
A,,0.333333343,24,0,716,0
A,,0.333333343,24,43.5,4,1
A,,0.666666687,27,32.58000183,1,1
A,,0.666666687,44,117.9599991,2,1
A,,1,38,98.25,15,1
A,,1,51,0,75,0
A,,1,31,0,0,0
A,,1,52,165.6699982,25,1
A,,0.333333343,34,0,374,0
A,,0.333333343,41,216,6,0
A,,0.333333343,47,0,26,0
A,,0.333333343,32,0,35,0
A,,0.333333343,25,0,10,0
A,,1,44,0,3,0
A,,1,37,1214.089966,10,1
A,,1,29,0,39,0
A,,1,34,0,93,0
A,,1,33,0,44,0
A,,0,42,425.2200012,2,0
A,,0,26,0,0,0
A,,0,32,0,709,0
A,,0,24,0,0,0
A,,0,26,255,3,0
A,,0,31,176.6200104,20,1
A,,0,37,0,15,0
A,,0.333333343,19,50,6,1
A,,0.333333343,56,0,0,0
A,,0.666666687,53,0,253,0
A,,0.666666687,64,89.25,5,0
A,,1,40,312.2999878,9,1
A,,1,31,0,31,0
A,,0,22,79.25,14,1
A,,0,27,0,36,0
A,,0.333333343,33,36.20000076,30,1
A,,0.333333343,49,0,107,0
A,,1,39,50.68000031,6,1
A,,0.333333343,31,0,2,0
A,,0.333333343,23,102.75,24,1
A,,0.333333343,30,0,12.31999969,0
A,,0.333333343,17,0,0,0
A,,0.666666687,53,0,24,0
A,,1,34,0,79,0
A,,1,31,0,89.25,0
A,,0.333333343,42,0,16,0
A,,0.333333343,59,0,35,0
A,,0.333333343,43,0,109,0
A,,0.333333343,45,0,23,0
A,,0.666666687,38,0,61,0
A,,0.666666687,18,0,329,0
A,,1,22,0,0,0
A,,1,45,0,166,0
A,,0.333333343,50,0,92,0
A,,0.333333343,52,0,0,0
A,,0.333333343,27,0,0.379999995,0
A,,0.333333343,70,0,8,0
A,,0.666666687,50,178.3500061,17,1
A,,0.666666687,42,0,34,0
A,,0.666666687,40,0,5,0
A,,0.666666687,22,98.66000366,11,1
A,,1,47,0,49,0
A,,1,41,72.5,15,1
A,,0,27,26,2,0
A,,0,41,0,186,0
A,,0,31,168,309.25,1
A,,0.333333343,40,0,607,0
A,,0.333333343,20,169.5,0,1
A,,0.333333343,30,47.13999939,9,1
A,,0.333333343,18,0,37,0
A,,0.333333343,42,124.75,11,1
A,,0.666666687,46,161.75,37,1
A,,0.666666687,19,103,1,1
A,,1,32,0,40,0
A,,1,37,65.25,48,1
A,,1,43,0,32,0
A,,0,16,79.25,0,0
A,,0.333333343,41,0,65,0
A,,0.333333343,29,103,20,1
A,,0.333333343,33,0,114,0
A,,0.666666687,46,99,47,0
A,,1,37,0,0,0
A,,1,43,0,4.529999733,0
A,,1,40,295,24,1
A,,1,45,84,4,1
A,,1,41,0,86,0
A,,0,30,18,572,0
A,,0,23,0,31,0
A,,0,22,0,298.5,0
A,,0,23,408.0100098,3,0
A,,0,48,175,0,1
A,,0.333333343,28,176.75,16,1
A,,0.333333343,23,7.239999771,11,1
A,,0.333333343,36,0,6,1
A,,0.333333343,53,110.25,56,1
A,,0.333333343,58,145,43,1
A,,0.666666687,24,0,5,0
A,,1,50,123.4000015,0,1
A,,1,38,47.09000015,0,0
A,,1,35,0,14,0
A,,1,49,71.86000061,0,1
A,,0,28,0,5,0
A,,0,23,0,52,1
A,,0,32,0,8,0
A,,0.333333343,63,139.25,12,0
