revshift,high,female,tenure
446.00003,1,0,652.99994
333.00018,0,0,626.00037
406.99994,1,0,660.00012
488.49976,0,0,631.99976
84.000015,1,0,650.00043
579.99994,0,0,617.99969
166.00003,1,0,424.99994
169.00005,0,0,430.99997
290.00003,0,0,429.00003
308.99991,1,0,421.00006
305.00006,0,0,416.99991
277.99997,1,0,422.99994
113.99995,0,0,410.99991
82.999947,0,0,411.99985
308.50006,0,0,417.99982
202.00006,0,0,427.99991
242.00006,1,0,419.00003
308.99991,0,0,427
147.00006,1,0,421.99988
276.00003,1,0,420.00012
374.40009,0,0,415.99988
256.99997,0,0,413.00018
358,0,0,429.99991
276.00003,0,0,432.00018
279.99982,0,0,414.99979
300.99991,0,0,414
221.50009,1,0,424.00024
393.00015,1,0,558.99976
211.99994,1,0,563.00018
198,1,0,569.00031
246.99992,1,0,565.99994
262.00012,1,0,568.00031
318.99997,1,0,562.00006
398.99985,0,0,581.00012
347.00006,1,0,565.00012
340.99985,1,0,566.99982
375.39996,1,0,563.99988
305.00006,0,0,645.99969
177.00005,0,0,652.99994
99.000015,0,0,641.99982
349.99994,1,0,697.99994
223.00005,1,0,693
128.99995,1,0,682.00024
369.00012,0,0,649.00018
303.00006,0,0,650.00043
304.00009,0,0,658.00006
277.00012,1,0,688.00012
332.50006,1,0,695.00012
239.40005,0,0,648.00018
236.99997,0,0,651.99963
231.00006,1,0,696.99969
237.99985,0,0,639.00037
265.99991,0,0,650.99957
626.00037,1,0,686.99982
599.00024,1,0,680.00012
51.000019,1,0,688.99982
423.60016,0,0,643.00018
162.99997,1,0,690.00031
294.00006,0,0,640.99969
225.00014,0,0,654.00043
385.99985,0,0,644.99982
441.00006,1,0,686.00024
691.00012,1,0,683.00012
193.99997,1,0,685.00012
229,0,0,644.00018
267.00009,0,0,656.00012
356.49991,0,0,654.99982
251.99998,1,0,691.00012
325.99988,1,0,696.00024
299.50018,0,0,191.99992
346.50006,1,0,198
258.99997,1,0,193.99997
429.99991,0,0,598.00012
180.00003,0,0,546
289.00009,0,0,554.00018
356.00009,0,0,551.00012
337.00003,1,0,570.99988
258.99997,0,0,596.99994
333.50003,0,0,594.99976
246.00011,0,0,596.00018
391.00018,1,0,558.99976
337.50015,0,0,552
333.00018,0,0,592.00024
300.00015,1,0,565.99994
253.99994,0,0,591
277.99997,0,0,599.00024
405.99994,0,0,593.99982
324.00015,0,0,545.00012
311.00003,0,0,588.00006
300.99991,0,0,590.00024
332,1,0,560.00012
427,0,0,588.99988
393.00015,1,0,566.99982
182.99997,0,0,555.99982
273.00006,1,0,563.00018
344.99985,1,0,572
375,1,0,558
222.00014,0,0,563.99988
377.99994,1,0,569.99982
450.00018,0,0,554.99994
263.99997,0,0,592.99976
215.99991,0,0,547.99982
308.99991,1,0,562.00006
314,0,0,547.00012
335.99994,0,0,549.99982
377.99994,0,0,644.99982
294.99991,0,0,622.99969
624.00037,1,0,667.99988
307.00009,0,0,721.99988
733.80035,0,0,730.00037
578.99969,0,0,723.99969
481.99994,0,0,730.99963
365.89996,1,0,665
364.00006,0,0,709.00037
484.00003,0,0,717.99957
292.99982,1,0,678.99994
312.99994,0,0,727.99994
490.00031,0,0,626.00037
950.90009,0,0,722.99982
279.99982,0,0,632.99976
167.00003,0,0,726
400.99982,0,0,725.00024
542.99982,0,0,719.99982
387.00012,0,0,715.99988
422.49982,0,0,710.99969
616,0,0,649.00018
464.50021,1,0,651.99963
530.5,1,0,680.00012
793.99963,0,0,650.99957
945.99945,0,0,707.00024
361.5,0,0,631.99976
368.00003,0,0,640.99969
611.99982,1,0,675.99994
260.99991,1,0,661.99963
352.99997,0,0,639.99988
411.39999,1,0,654.00043
509,0,0,644.00018
334.99982,0,0,703.99976
267.00009,0,0,628.99982
249.00003,0,0,663.99988
343.49997,0,0,712.99969
433.00012,0,0,636.00031
330.50012,1,0,675.00018
411.99985,0,0,634
337.00003,0,0,714
651.99963,0,0,705.00012
147.00006,0,0,648.00018
517.00006,1,0,661.00012
311.99994,1,0,666.99994
320.99997,0,0,718.99976
299.00012,1,0,659.00031
1591,0,0,707.99994
400.00018,0,0,641.99982
195.00009,0,0,731.99963
424.00024,0,0,714.99963
377.99994,1,0,670.99988
318.00018,1,0,671.99976
657,0,0,637.99982
562.00006,1,0,652.99994
294.99991,0,0,720.99988
398.3002,1,0,672.99976
421.00006,1,0,680.99982
427.59991,0,0,625.00024
498.50021,0,0,630.00012
497,0,0,627.00031
458.49988,0,0,636.99957
320.99997,0,0,729.00018
404.99997,1,0,656.00012
490.00031,1,0,657
340.00012,0,0,635
424.99994,1,0,682.00024
427,0,0,643.00018
330.99988,0,0,705.99982
330.00012,0,0,717.00012
408.99994,0,0,726.99963
447.99991,0,0,710
435,1,0,660.00012
605.59955,0,0,621.99994
441.00006,1,0,669.99951
367.00006,1,0,677.99982
342.00009,0,0,620.99994
175,0,0,650.00043
607.00012,0,0,712.00006
551.00012,0,0,645.99969
180.00003,1,0,279.99982
263.99997,0,0,283.99994
198,0,0,273.99997
191.00011,0,0,265.99991
234.50009,0,0,286.00006
233.40007,0,0,284.99994
236.49995,1,0,277.00012
184.00005,0,0,263.99997
180.00003,1,0,277.99997
189,0,0,268.99991
180.00003,0,0,273.00006
411.5,0,0,271.00006
195.00009,1,0,274.99997
161.99994,1,0,276.00003
281.00009,0,0,286.99994
217.99998,0,0,265.00006
215,1,0,279.00006
90.000031,0,0,355.00006
318.99997,1,0,384.99988
296.00015,0,0,367.00006
90.000031,1,0,388.99988
417.99982,0,0,365.99988
390.5,0,0,370.99997
400.00018,0,0,361
290.00003,0,0,352.99997
347.99985,1,0,393.00015
340.00012,0,0,350.99991
400.99982,0,0,360
302,1,0,392.00006
375,0,0,358.99985
382.00015,0,0,361.99991
334.99982,1,0,390.00009
404.00006,1,0,385.99985
304.00009,0,0,365.00024
498.99994,0,0,358
311.99994,0,0,372.00006
294.99991,0,0,369.00012
305.99997,0,0,356.00009
290.99991,1,0,382.00015
271.99997,0,0,370
400.99982,0,0,351.99994
320.99997,1,0,387.99988
595.49976,1,0,381.00024
375.99994,1,0,384.00018
415.10022,0,0,364.00006
429.00003,0,0,368.00003
429.50012,0,0,363.00006
273.99997,0,0,372.99985
260.99991,0,0,357.00009
337.00003,1,0,383
282.50012,1,0,387.00012
378.99991,0,0,284.99994
395.00009,1,0,260.99991
215,0,0,283.99994
321.49982,1,0,258.99997
388.99988,1,0,251.00002
592.99976,0,0,279.00006
273.99997,1,0,257.99985
334.99982,0,0,279.99982
241.00002,1,0,262.00012
277.99997,0,0,286.00006
260.99991,1,0,253.99994
398.90009,1,0,256.99997
383,0,0,276.00003
315.99994,1,0,263
383,1,0,251.99998
324.00015,0,0,281.00009
355.00006,0,0,248.00006
338.00003,0,0,246.99992
281.39996,1,0,253.00012
340.99985,0,0,281.99997
284.99994,0,0,246.00011
238.99986,1,0,250.00002
378.99991,0,0,283.00003
385.99985,0,0,328.00012
229,0,0,277.00012
153.00002,0,0,271.00006
203,0,0,273.00006
304.00009,0,0,325.99988
197.00005,1,0,296.99997
85.999977,0,0,326.99994
253.99994,0,0,329.00009
307.00009,0,0,318.99997
230.40001,1,0,296.00015
282.50012,0,0,318.00018
308.99991,0,0,284.99994
278.49997,1,0,302
229,1,0,294.99991
411.99985,1,0,290.00003
346.00009,0,0,277.99997
232.99989,1,0,290.99991
351.39993,0,0,271.99997
464.99982,0,0,322.99991
277.00012,1,0,299.00012
297.99985,0,0,276.00003
304.00009,1,0,286.99994
257.99985,1,0,294.00006
69.000031,1,0,303.00006
267.00009,0,0,321.99982
374.00006,0,0,324.99994
225.00014,0,0,281.00009
270,0,0,281.99997
572,0,0,320.99997
147.00006,0,0,320
271.49997,1,0,292.00006
304.00009,0,0,283.00003
192.99997,1,0,300.99991
215,0,0,292.99982
284.99994,1,0,288.00015
280.39996,1,0,300.00015
554.00018,0,0,324.00015
268.99991,0,0,286.00006
227,1,0,289.00009
139.99994,0,0,279.99982
311.00003,0,0,274.99997
444.00018,0,0,277.99997
302,1,0,290.99991
388.99988,0,0,268.99991
302,0,0,268
356.00009,0,0,325.99988
390.5,1,0,294.00006
329.49988,0,0,330.99988
304.00009,0,0,283.00003
807.99994,0,0,320
324.00015,0,0,279.99982
317.00006,1,0,292.99982
416.99991,0,0,281.99997
263.49991,1,0,290.00003
330.00012,1,0,288.00015
312.99994,0,0,330.00012
330.99988,1,0,292.00006
777.99957,0,0,318.00018
305.00006,0,0,324.99994
329.00009,0,0,274.99997
265.00006,0,0,322.99991
456.00009,0,0,328.00012
304.00009,0,0,273.00006
299.50018,1,0,296.99997
384.00018,0,0,284.99994
343.99979,1,0,289.00009
411.99985,0,0,265.99991
307.00009,1,0,296.00015
463.49982,0,0,332
352.99997,0,0,329.00009
298.50003,1,0,297.99985
330.00012,0,0,277.00012
324.99994,1,0,294.99991
334.99982,0,0,279.00006
326.99994,0,0,270
470.00015,0,0,326.99994
308.00006,0,0,276.00003
437.50012,0,0,271.00006
401.99997,0,0,321.99982
376.99994,0,0,324.00015
303.00006,0,0,315.99994
265.00006,0,0,273.99997
294.00006,1,0,286.99994
419.49979,0,0,317.00006
322.99991,1,0,299.00012
294.00006,0,0,267.00009
283.99994,0,0,283.99994
326.99994,0,0,286.00006
336.49994,0,0,320.99997
332,0,0,318.99997
385.49994,1,0,300.00015
388.99988,0,0,281.00009
167.00003,0,1,185.00003
375.99994,0,1,171.99992
296.99997,0,1,178.00008
273.99997,1,1,197.00005
167.00003,1,1,196.00006
176,0,1,169.00005
361,0,1,182.99997
167.00003,1,1,199.99992
167.00003,0,1,166.00003
167.00003,0,1,173.00008
167.00003,0,1,176
279.99982,1,1,207.99998
90.000031,1,1,202.00006
314,0,1,180.00003
363.00006,0,1,177.00005
300.99991,0,1,186.00006
475.00009,0,1,181
286.99994,1,1,199.00003
226,0,1,167.00003
221.00006,0,1,184.00005
370,1,1,201.00002
167.00003,1,1,204
246.00011,0,1,173.99995
167.00003,0,1,179.00003
324.99994,1,1,195.00009
167.00003,1,1,203
167.00003,0,1,182.00006
315.99994,0,1,165.00009
167.00003,0,1,169.99992
277.99997,0,1,175
99.000015,0,0,153.99991
193.99997,1,0,136.00002
265.00006,0,0,128.99995
181,0,0,127.99997
166.00003,0,0,153.00002
204,0,0,120.00003
220.00011,1,0,149.99995
343.99979,1,0,151.99992
286.50012,0,0,130.99995
231.99991,0,0,132.99998
232.99989,1,0,148.99995
219.00006,1,0,145.00003
110.99998,0,0,126.00002
286.99994,1,0,143.00005
367.00006,1,0,147.00006
209.99989,0,0,135.00003
138.00005,0,0,125.00003
202.00006,1,0,138.00005
215,0,0,121.00005
236.00005,0,0,130.00008
320.99997,1,0,137.00002
277.00012,1,0,146.00006
258.99997,0,0,154.99998
263.99997,0,0,122.99995
228.00009,1,0,139.99994
141.99998,0,0,132.00002
332,1,0,141.00002
186.00006,0,0,217.99998
366.49982,0,0,257.99985
340.99985,1,0,296.99997
276.50006,0,0,232.99989
539.00024,0,0,212.99997
198,0,0,231.00006
292.00006,0,0,209.99989
244.99995,0,0,236.99997
299.00012,0,0,211.99994
279.99982,0,0,246.99992
292.00006,1,0,305.99997
320,0,0,248.00006
158.99997,1,0,311.99994
239.49989,0,0,249.00003
307.00009,1,0,286.00006
456.99982,1,0,304.00009
332,0,0,241.00002
400.99982,1,0,308.99991
367.00006,0,0,243.99994
320,0,0,237.99983
130.00008,0,0,263
294.99991,0,0,242.00006
358.99985,0,0,262.00012
292.99982,0,0,210.99997
229,0,0,228.00009
343.99979,1,0,307.00009
188,0,0,255.00012
209.99989,1,0,315.99994
693.49982,1,0,289.00009
297.99985,1,0,312.99994
242.00006,1,0,302
393.00015,1,0,315.00012
335.99994,0,0,244.99995
398,1,0,308.00006
354.00003,0,0,231.99991
349.99994,0,0,214
222.00014,0,0,220.00011
596.99994,0,0,240.00002
251.99998,0,0,226
378.99991,0,0,251.00002
271.00006,0,0,253.99994
304.00009,0,0,253.00012
273.00006,0,0,227
680.50012,1,0,290.00003
657,1,0,292.99982
236.99997,0,0,235.00011
182.00006,1,0,300.99991
279.99982,1,0,299.00012
355.00006,0,0,258.99997
462.99997,0,0,208.99995
271.00006,0,0,207.99998
192.99997,1,0,309.99991
182.00006,0,0,260.99991
325.99988,0,0,238.99986
50,1,0,305.00006
318.00018,0,0,250.00002
328.00012,0,0,207.00005
381.00024,1,0,311.00003
226,1,0,297.99985
320,0,0,222.00014
299.50018,1,0,292.00006
368.00003,0,0,243.00014
384.00018,1,0,288.00015
318.99997,0,0,233.99997
329.40005,0,0,225.00014
197.00005,0,0,219.00006
490.99994,0,0,236.00005
286.50012,1,0,286.99994
299.00012,1,0,294.00006
337.00003,0,0,255.99989
332,0,0,246.00011
325.49985,0,0,256.99997
180.00003,0,0,221.00006
356.00009,0,0,260.00009
463.99976,0,0,229.99992
279.49991,0,0,229
334,0,0,251.99998
303.00006,1,0,303.00006
283.00003,1,0,294.99991
273.99997,1,0,296.00015
251.00002,0,0,216.99992
260.00009,1,0,314
296.99997,0,0,215
281.00009,1,0,290.99991
358,0,0,223.99998
211.99994,0,0,223.00005
396.99988,1,0,300.00015
351.99994,0,0,208.99995
242.00006,0,0,211.99994
294.99991,0,0,222.00014
311.49991,1,0,246.99992
330.39999,1,0,225.00014
573.00018,1,0,223.00005
311.99994,1,0,228.00009
349.99994,0,0,204
554.50012,1,0,248.00006
670.99988,0,0,270
333.00018,0,0,289.00009
300.99991,0,0,292.99982
308.99991,0,0,284.99994
427.39984,1,0,243.99994
427.99991,1,0,237.99983
421.99988,0,0,221.00006
338.00003,0,0,286.00006
322.99991,0,0,274.99997
271.99997,1,0,231.00006
223.00005,1,0,249.00003
358,0,0,217.99998
407.99994,1,0,236.99997
215,0,0,203
271.99997,1,0,227
235.00011,0,0,233.99997
346.00009,0,0,205.99997
240.00002,0,0,215.99991
219.00006,0,0,215
606,0,0,207.99998
267.00009,0,0,271.00006
627.99988,0,0,216.99992
390.00009,1,0,229.99992
462.00006,0,0,209.99989
248.00006,0,0,279.99982
243.99994,1,0,243.00014
242.00006,0,0,271.99997
215,1,0,236.00005
372.99985,0,0,286.99994
134.00003,1,0,240.00002
307.00009,0,0,290.00003
488.99976,0,0,265.99991
387.00012,0,0,292.00006
539.00024,0,0,219.00006
315.00012,0,0,277.99997
358,1,0,232.99989
249.00003,0,0,277.00012
255.99989,1,0,226
387.99988,1,0,241.00002
411.99985,0,0,202.00006
229,0,0,268
460.00024,1,0,238.99986
242.00006,0,0,281.99997
296.99997,1,0,223.99998
650.00043,0,0,220.00011
236.99997,0,0,279.00006
265.00006,0,0,205
307.00009,0,0,268.99991
198,0,0,290.99991
225.00014,1,0,244.99995
208.99995,0,0,283.99994
254.89992,1,0,281.00009
246.99992,1,0,265.99991
540.50018,1,0,258.99997
237.99985,0,0,225.00014
351.99994,1,0,268.99991
286.00006,0,0,214
283.99994,1,0,279.00006
264.49994,1,0,257.99985
265.99991,0,0,226
271.99997,0,0,222.00014
246.99992,0,0,233.99997
249.00003,0,0,196.00006
300.99991,0,0,201.00002
211.99994,1,0,256.99997
462.00006,0,0,221.00006
233.99997,1,0,277.00012
276.00003,0,0,197.00005
276.00003,0,0,231.99991
356.00009,0,0,231.00006
45.000023,0,0,220.00011
271.99997,0,0,232.99989
251.00002,0,0,235.00011
204,1,0,271.99997
304.00009,0,0,215.99991
222.00014,1,0,263.99997
563.99988,1,0,260.99991
328.00012,1,0,281.99997
220.00011,0,0,209.99989
340.99985,0,0,202.00006
223.00005,0,0,205.99997
290.00003,0,0,219.00006
169.99992,0,0,199.00003
365.00024,1,0,263
255.99989,1,0,273.99997
441.00006,1,0,262.00012
292.99982,1,0,276.00003
337.00003,1,0,255.00012
226,0,0,217.99998
315.00012,0,0,210.99997
195.00009,0,0,207.00005
241.00002,0,0,199.99992
262.00012,0,0,229.99992
219.00006,0,0,227
219.00006,0,0,223.00005
325.99988,0,0,211.99994
370.99997,1,0,270
227,0,0,205
322.99991,0,0,216.99992
162.99997,0,0,207.99998
288.00015,0,0,204
253.00012,1,0,273.00006
283.00003,1,0,268
143.00005,1,0,279.99982
249.00003,0,0,205
265.99991,1,0,178.00008
470.00015,0,0,146.00006
296.00015,1,0,186.00006
243.99994,0,0,199.00003
250.00002,0,0,147.00006
130.99995,1,0,185.00003
214,1,0,184.00005
184.00005,0,0,203
220.50006,0,0,147.99995
400.00018,0,0,154.99998
311.99994,0,0,204
398.99985,1,0,173.99995
277.00012,0,0,205.99997
243.00014,0,0,160.99994
351.99994,0,0,165.00009
289.00009,1,0,189
209.99989,0,0,153.00002
357.00009,1,0,168
300.00015,0,0,161.99994
186.00006,1,0,182.00006
255.99989,1,0,171.00008
169.00005,0,0,202.00006
167.00003,1,0,187.00008
199.00003,1,0,169.99992
390.00009,0,0,199.99992
169.00005,1,0,180.00003
253.99994,1,0,167.00003
231.99991,1,0,176
279.00006,0,0,153.99991
387.99988,1,0,169.00005
207.99998,0,0,158
375,0,0,151.99992
238.99986,1,0,171.99992
414,0,0,145.00003
458.99991,0,0,158.99997
375.99994,0,0,160.00003
479.99994,0,0,151.00003
372.00006,1,0,188
444.00018,0,0,163.99992
53.000004,1,0,181
395.99991,0,0,175
238.99986,0,0,143.99995
243.99994,0,0,207.00005
330.00012,0,0,166.00003
325.99988,1,0,179.00003
263.99997,0,0,149.99995
385.99985,0,0,201.00002
322.99991,0,0,162.99997
263.99997,1,1,56.999985
215,0,1,36.000004
255.00012,1,1,52.000015
151.00003,0,1,33.000015
253.00012,0,1,42.000015
217.99998,1,1,53.000004
177.00005,1,1,68.000023
466.70016,1,1,69.000031
215.99991,1,1,63.000019
223.00005,1,1,66.000015
476.00006,0,1,44.000015
303.00006,1,1,51.000019
294.00006,0,1,40.999996
78.000015,1,1,54.999989
243.99994,1,1,61.999977
225.00014,0,1,45.000023
255.99989,1,1,58
241.00002,0,1,42.999996
255.99989,1,1,67.000023
238.99986,1,1,59.000034
238.50017,0,1,34.000015
223.99998,1,1,56.000019
221.00006,1,1,61.000008
153.00002,0,1,32.000004
444.99988,1,1,53.999996
192.99997,0,1,39.000015
225.00014,1,1,60.000027
232.99989,0,1,34.999996
241.00002,0,1,30.999994
270,0,1,39.999981
270,1,1,64.999985
187.00008,0,1,37.000004
262.49997,1,1,63.999996
243.00014,0,1,37.999992
